Resident County	Births	Baby_Male	Baby_Female	Mother_White	Mother_Black	Mother_Hispanic	Mother_Other	Mother_Age < 20	Mother_Age 20 - 24	Mother_Age 25 - 29	Mother_Age 30 - 34	Mother_Age 35 - 39	Mother_Age 40 +	Mother_Unmarried	Mother_NotHSGraduate_Age_20+ 	GDP	Population
Adams	768	360	408	698	48	11	11	51	179	252	200	77	9	315	52	3284870	66427
Alexander	51	24	27	33	17	1	0	2	13	18	14	3	1	28	8	180487	6532
Bond	154	84	70	146	3	3	2	10	35	53	39	16	1	59	15	556141	16712
Boone	512	249	263	323	20	163	6	23	104	160	131	74	20	210	51	1706969	53606
Brown	65	38	27	63	0	1	1	3	15	23	20	3	1	15	7	403332	6675
Bureau	312	167	145	255	5	47	5	11	76	104	88	26	7	128	24	1200477	33381
Calhoun	37	19	18	35	2	0	0	1	1	24	8	2	1	7	2	109270	4858
Carroll	127	65	62	118	1	5	3	7	25	44	32	18	1	57	5	463346	14562
Cass	170	74	96	99	16	54	1	16	36	52	42	19	5	85	32	638399	12665
Champaign	"2,254"	"1,167"	"1,087"	"1,278"	556	223	197	107	406	682	690	314	55	938	168	10356705	209448
Christian	360	160	200	348	5	4	3	19	93	130	82	28	8	183	29	1346262	33231
Clark	189	93	96	186	0	3	0	12	48	70	43	10	6	73	8	608104	15836
Clay	157	74	83	153	1	2	1	20	39	55	25	13	5	78	8	588562	13338
Clinton	401	208	193	369	8	18	6	14	66	144	132	41	4	134	24	1210870	37628
Coles	485	255	230	421	35	22	7	30	135	159	109	39	13	228	38	2305836	51736
Cook	"61,787"	"31,632"	"30,155"	"23,286"	"15,423"	"17,415"	"5,663"	"2,588"	"9,596"	"14,999"	"19,761"	"12,028"	"2,814"	"25,252"	"5,422"	362063569	5223719
Crawford	204	98	106	195	3	5	1	16	54	85	34	14	1	66	25	3154494	19088
Cumberland	113	52	61	112	1	0	0	6	29	43	24	9	2	46	5	343839	10865
DeKalb	"1,092"	547	545	719	186	163	24	38	203	370	310	152	19	436	63	3614570	16042
DeWitt	171	100	71	158	4	8	1	9	51	59	38	13	1	84	8	1129745	104200
Douglas	236	129	107	217	0	17	2	10	50	71	66	30	9	57	82	1002215	19714
DuPage	"10,299"	"5,347"	"4,952"	"6,177"	612	"1,883"	"1,627"	207	851	"2,470"	"4,073"	"2,257"	440	"2,085"	477	82596221	931743
Edgar	171	82	89	169	0	1	1	10	48	57	42	12	2	79	20	756615	17539
Edwards	92	40	52	89	1	0	2	2	25	30	22	11	2	27	6	279804	6507
Effingham	453	213	240	430	5	9	9	24	87	171	135	31	5	142	19	2041960	34174
Fayette	225	114	111	218	2	4	1	13	76	82	38	15	1	91	29	599015	21724
Ford	150	79	71	137	2	10	1	13	38	53	28	15	3	68	13	788611	13398
Franklin	477	241	236	468	2	6	1	33	144	165	103	29	3	187	52	1247960	39127
Fulton	321	170	151	309	7	3	2	30	83	122	61	20	5	169	22	917536	35418
Gallatin	38	19	19	36	2	0	0	4	9	15	7	3	0	16	4	276703	5157
Greene	139	72	67	137	0	1	1	6	37	55	31	10	0	52	17	377090	13218
Grundy	571	270	301	490	8	65	8	25	87	214	164	69	12	215	19	3145931	50509
Hamilton	82	41	41	80	0	1	1	2	21	32	24	3	0	19	6	460533	8221
Hancock	189	100	89	181	3	3	2	12	45	72	38	21	1	67	4	683222	18112
Hardin	33	13	20	32	1	0	0	3	15	8	6	1	0	16	4	105717	4009
Henderson	61	29	32	59	0	2	0	1	16	19	19	6	0	24	4	201065	6884
Henry	491	244	247	425	26	37	3	27	108	165	137	51	3	196	30	1436917	49464
Iroquois	307	164	143	263	6	36	2	19	84	97	70	33	4	152	29	1056396	28169
Jackson	628	290	338	412	183	25	8	42	158	207	143	64	14	317	66	2805921	58551
Jasper	120	61	59	120	0	0	0	4	20	52	31	11	2	26	4	568282	9598
Jefferson	441	225	216	353	65	18	5	25	114	155	95	43	9	211	38	1695482	38169
Jersey	213	119	94	209	1	2	1	6	49	69	68	17	4	80	16	502115	22069
Jo Daviess	161	81	80	152	2	7	0	4	23	59	46	25	4	58	9	819232	21834
Johnson	107	55	52	105	1	1	0	7	28	45	18	7	2	44	12	226975	12602
Kane	"6,339"	"3,313"	"3,026"	"2,887"	465	"2,700"	287	294	996	"1,682"	"2,051"	"1,082"	232	"2,288"	775	21846847	530839
Kankakee	"1,237"	616	621	797	254	171	15	62	274	450	291	137	23	619	94	4370611	111061
Kendall	"1,515"	740	775	"1,020"	102	335	58	34	152	372	616	288	53	389	59	2910561	124626
Knox	547	302	245	420	80	40	7	36	143	162	131	60	15	296	41	1750985	50999
Lake	"7,094"	3656	3438	"3,535"	671	"2,247"	641	261	"1,016"	"1,739"	"2,397"	"1,390"	291	"2,316"	616	60106642	703619
LaSalle	"1,093"	570	523	881	34	157	21	62	213	362	304	138	14	499	94	5398514	110401
Lawrence	150	81	69	141	2	5	2	10	44	48	35	9	4	64	23	510953	16189
Lee	334	178	156	290	12	25	7	9	90	112	87	28	8	158	22	1508358	34527
Livingston	435	240	195	388	13	31	3	23	94	169	109	35	5	199	53	1753899	36324
Logan	300	158	142	286	6	7	1	26	71	90	79	29	5	127	31	1110851	29207
McDonough	263	144	119	224	29	7	3	16	54	96	60	26	11	96	25	1150422	106512
McHenry	"2,988"	"1,517"	"1,471"	"2,278"	55	559	96	74	337	852	"1,104"	493	128	828	156	10241435	45719
McLean	"1,820"	940	880	"1,299"	249	120	152	68	293	605	562	253	39	582	93	11802499	265670
Macon	"1,268"	681	587	823	380	40	25	91	338	428	297	95	19	750	123	6523486	38084
Macoupin	470	244	226	457	8	3	2	26	97	171	113	52	11	205	31	1163098	11794
Madison	"2,863"	"1,467"	"1,396"	"2,275"	423	131	34	139	570	930	850	320	54	"1,238"	185	11293639	13778
Marion	476	254	222	436	31	7	2	50	135	163	82	37	9	269	54	1372400	14430
Marshall	124	72	52	118	1	5	0	5	25	40	36	17	1	53	5	403674	30875
Mason	127	64	63	124	1	0	2	12	33	46	26	9	1	67	9	577815	307789
Massac	144	73	71	120	12	11	1	9	44	50	29	12	0	69	15	690326	173219
Menard	114	72	42	113	1	0	0	2	20	47	29	14	2	36	10	289134	12367
Mercer	144	76	68	141	1	1	1	7	40	44	38	14	1	60	7	403854	15693
Monroe	393	221	172	386	2	2	3	3	24	124	152	81	9	46	3	923297	33936
Montgomery	300	156	144	289	3	4	4	16	66	106	74	32	6	125	25	1324737	29009
Morgan	330	163	167	292	27	6	5	29	82	109	79	28	3	165	30	1445898	34426
Moultrie	173	104	69	164	1	6	2	5	38	58	38	26	8	39	46	692823	14703
Ogle	533	256	277	443	7	81	2	28	91	165	167	73	9	211	28	2721329	51328
Peoria	"2,504"	"1,272"	"1,232"	"1,428"	766	169	141	169	586	759	662	285	43	"1,291"	231	12040364	184463
Perry	186	96	90	174	5	5	2	13	61	58	38	15	1	83	22	712065	21384
Piatt	182	94	88	177	1	3	1	6	32	62	63	15	4	50	7	477520	16427
Pike	207	99	108	205	0	2	0	16	67	66	36	18	4	96	18	623777	15754
Pope	30	14	16	30	0	0	0	3	11	9	6	1	0	19	1	96338	4249
Pulaski	45	21	24	27	18	0	0	4	10	14	13	4	0	28	6	236180	5611
Putnam	39	16	23	34	1	4	0	2	6	12	11	6	2	10	3	338034	5746
Randolph	310	157	153	266	22	19	3	22	70	115	78	20	5	138	39	1470109	32546
Richland	170	79	91	168	0	1	1	8	52	67	30	12	1	64	12	962210	15881
Rock Island	"1,733"	883	850	"1,020"	348	269	96	106	413	530	407	232	45	850	216	10496180	145275
St. Clair	"3,115"	"1,574"	"1,541"	"1,620"	"1,258"	161	76	188	705	991	774	391	66	"1,580"	251	10679494	24231
Saline	283	146	137	264	13	2	4	17	108	80	53	24	1	148	37	849787	197661
Sangamon	"2,240"	"1,155"	"1,085"	"1,589"	520	67	64	131	407	699	671	295	37	"1,062"	174	10570791	7064
Schuyler	63	30	33	55	7	0	1	4	19	27	9	4	0	29	4	285717	5047
Scott	37	23	14	37	0	0	0	1	13	12	7	4	0	19	5	189956	21832
Shelby	241	121	120	233	1	5	2	15	58	77	59	28	4	92	15	810282	263463
Stark	54	30	24	52	0	2	0	2	14	24	7	4	3	17	3	227465	5500
Stephenson	488	264	224	340	102	39	7	52	133	138	117	41	7	266	37	1923456	45433
Tazewell	"1,389"	743	646	"1,307"	23	42	17	69	245	476	412	153	34	516	63	8206096	133852
Union	188	95	93	176	1	11	0	11	44	78	41	11	3	73	18	448465	17127
Vermilion	932	462	470	648	216	59	9	91	257	299	182	85	18	577	120	3285723	78407
Wabash	141	76	65	136	0	5	0	7	32	58	30	12	2	46	6	376181	11573
Warren	203	100	103	144	12	30	17	15	42	56	48	33	9	74	30	750948	17338
Washington	154	81	73	148	0	4	2	6	19	56	49	18	6	43	8	1013500	14155
Wayne	211	92	119	202	3	6	0	10	70	72	38	18	3	66	50	648342	16487
White	127	77	50	125	1	0	1	8	52	35	23	7	2	58	13	573158	14025
Whiteside	593	292	301	485	17	85	6	40	152	201	145	45	10	299	42	2090471	56396
Will	"7,321"	"3,638"	"3,683"	"4,215"	994	"1,679"	433	259	970	"2,031"	"2,516"	"1,309"	236	"2,389"	392	28209374	688697
Williamson	739	376	363	669	49	12	9	39	186	249	188	69	8	326	54	2796011	67299
Winnebago	"3,496"	"1,780"	"1,716"	"1,907"	788	684	117	219	811	"1,104"	903	379	79	"1,921"	403	13080810	286174
Woodford	419	218	201	402	6	6	5	16	61	145	122	64	11	84	7	1155062	38817
